Company Name,Company Link,Location,Booth Number,Description
2b-special GmbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105677,"Jena, Germany",5532,"2b-special is a manufacturer of optical fiber preforms based in Jena, Germany’s center of the optics industry. The company develops and produces custom-designed, ultra-pure specialty glass for fibers required in various applications. These include machining, medical, lighting, sensing applications and beyond – anywhere in the world where fibers are an essential component. Our organization is streamlined to produce high quality preforms customized to your specific needs."
3D AG,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104871,"Baar, Switzerland",5507,
3D-Micromac AG,https://spie.org/ExhibitorDetail?ExpoID=5024&ExhibitorID=105118,"Chemnitz, Germany",6531,"We are the leading specialists in laser micromachining. Our experts develop processes & laser systems at the highest technological level. 3D-Micromac systems & services have been implemented in various high-tech industries, including glass & display, semiconductor, photovoltaic industry, micro diagnostics, & medical device technology. We are showcasing our laser solutions for manufacturing displays. That includes laser systems for cutting glass & polymer materials, including AR/VR waveguides."
3photon,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104233,"Vilnius, Lithuania",3211,"3photon stands in front of optical coatings and polishing facilities by design and commerce of laser & non-linear crystals and optical components. Experience combined with technology enables us to process various hardness and sensitivity crystals. Wide range of E-beam and IBS coatings up to 20 000 nm. UV-VIS-IR crystals, such as LBO, BBO, DKDP, PPKTP, BGGSe, AGSe, ZGP, Cr:ZnSe, Fe:ZnSe, Nd:YAG, Nd:YVO4, etc. Optical components such as broadband mirrors, dichroic separators, and beamsplitters."
"3SAE Technologies, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104227,"Franklin, TN, United States",4947,
3W Photonics,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104930,"Santa Monica, CA, United States",5002,
4D Technology Corp.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104245,"Tucson, AZ, United States",1355,
4JET Technologies GmbH,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105585,"Alsdorf, Germany",4205,
AA Opto-Electronic Co.,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105672,"Orsay Cedex, France",5029,
"Aachen Technology (Shenzhen) Co., Ltd.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=105131,"Shenzhen, GD, China",4131,"Aachen Technology (Shenzhen) Co., Ltd., is a national high-tech enterprise specializing in the research and development, manufacturing, and sales of various automation equipment，The company's star products include glass non spherical molding machines, molding automatic loading robotic arms, The machine accuracy and stability far exceed those of imported machines from South Korea and Japan, and its market share is the world's first. Since 2019, its market share has reached over 90%"
Abrisa Technologies,https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104145,"Santa Paula, CA, United States",1842,
"AC Photonics, Inc.",https://spie.org/ExhibitorDetail?ExpoID=5022&ExhibitorID=104324,"Santa Clara, CA, United States",4836,
