Booth Number(s),Company Name,Link to Company,Description,Website link,Company Contact Information
8314,Advance Reproductions Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101502"")","Advance Reproductions is a world-class provider of photomasking and photoplotting services, and unique photolithography solutions. Backed by a smart and creative technical team and driven by a commitment from the very first call to solving customers’ problems, we’ve built a reputation for delivering the most innovative photomasking solutions with high precision and speed.","=HYPERLINK(""http://www.advancerepro.com"")","Advance Reproductions Corp.  100 Flagship Dr  North Andover, MA  United States  01845-6117"
8572,Advanced Microoptic Systems GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101262"")","Manufacturer of high-quality refractive microoptic components like microlens arrays and lenslets, beam shapers and diffusers. Wafer level fabrication. Hexagonal, orthogonal, rectangular, circular, cylindrical, irregular lenslets arrangements. Convex and concave profiles.Single-side and double-side performance. Spherical and aspherical profiles. 193nm-3.5um spectral range. Numerical apertures 0.004-0.45. Pitch range: 10-4000um. Materials: fused silica, BK7, high-refractive glass types, polymer.","=HYPERLINK(""http://www.amus.de"")",Advanced Microoptic Systems GmbH  Lebacher Str 6a  Saarbrücken  Germany  66113
8225,AFL,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101449"")",No Description Found,"=HYPERLINK(""http://www.aflglobal.com"")","AFL  170 Ridgeview Center Dr  Duncan, SC  United States  29334-9635"
8219,"Alazar Technologies, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101807"")","AlazarTech manufactures high-performance PCIe waveform digitizer (DAQ) cards with data streaming rates up to 22 GB/s, and on-FPGA or GPU-based signal processing. Applications include biomedical, fiber sensing, and defense. Our unique clocking technology that allows the use of k-clocks directly for A/D conversion has made AlazarTech the de facto standard for data acquisition & signal processing in the OCT community. Come see our newest products.","=HYPERLINK(""http://www.alazartech.com"")","Alazar Technologies, Inc.  6600 Trans-Canada Hwy Ste 310  Pointe-Claire, QC  Canada  H9R 4S2"
"8553, 8630","Altos Photonics, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101803"")","Altos Photonics offers femtosecond, mode locked, and Q-switched lasers and tunable systems for research and industrial customers. Additional products include non-linear crystals (BBO, KTP, ZGP, KYW,KGW, etc.), optical mounts, USB-controlled stages, and other related products. Altos Photonics sells and services products from EKSPLA, EKSMA, Light Conversion & Standa.","=HYPERLINK(""http://www.altosphotonics.com"")","Altos Photonics, Inc.  PO Box 967  Bozeman, MT  United States  59771"
8416,"Analog Modules, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101886"")","Founded in 1979, Analog Modules, Inc. designs & manufactures a wide range of electronic products primarily for laser & electro-optics industries. AMI's products serve in military, medical, scientific & industrial applications. Laser electronic products include laser diode drivers, pulsed flashlamp drivers, cap charging power supplies, simmer supplies, Pockels cell & CW arc lamp drivers. AMI also offers a line of sensors & amplifiers, including rangefinder receivers & laser spot trackers.","=HYPERLINK(""http://www.analogmodules.com"")","Analog Modules, Inc.  126 Baywood Ave  Longwood, FL  United States  32750-3426"
8242,Andover Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=102397"")","Andover Corporation is a leader in the design and manufacture of optical filters and coatings, excelling in first-surface hard coat, assembled coatings, and hybrid solutions, with superior quality and short lead times. As a vertically integrated company, we manage every step from design and fabrication to metrology, ensuring seamless project execution. We offer custom-crafted solutions with no minimum order quantities, serving diverse markets such as defense, medical devices, and astronomy.","=HYPERLINK(""http://www.andovercorp.com"")","Andover Corp.  4 Commercial Dr  Salem, NH  United States  03079-2800"
8361,"APE Applied Physics & Electronics, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101820"")",No Description Found,"=HYPERLINK(""http://www.ape-america.com"")","Applied Physics & Electronics Inc  27119 NE Bradford Rd  Vancouver, WA  United States  98682-9647"
8329,"Apollo Optical Systems, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101517"")","Manufacturer of custom precision optical components specializing in Injection molded polymer optics and single point diamond turning, both in prototype and production volumes. In-house capabilities include injection molding, SPDT, extensive metrology, coating, optical/mechanical design and engineering. AOS specializes in design and manufacturing of diffractive and refractive optics.","=HYPERLINK(""http://www.apollooptical.com"")","Apollo Optical Systems, Inc.  925 John St  West Henrietta, NY  United States  14586-9780"
8663,"Applied Image, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5010&ExhibitorID=101920"")","Custom and off-the-shelf precision-imaged optical components, test targets & charts, calibration standards, and photo-masks to support a range of industry applications and light-based technologies, along with dicing and laser cutting/marking services. We collaborate with our customers to support the design, fabrication, evaluation, and calibration of photonics-based systems for improving product performance, first-time quality, and compliance. Rapid prototypes to production scale solutions.","=HYPERLINK(""http://www.appliedimage.com"")","Applied Image, Inc.  1653 E Main St Ste 1  Rochester, NY  United States  14609-7090"
