Booth Number(s),Company Name,Link to Company,Description,Website link,Company Contact Information
4113,2b-special GmbH,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102716"")","2b-special is a manufacturer of optical fiber preforms based in Jena, Germany’s center of the optics industry. The company develops and produces custom-designed, ultra-pure specialty glass for fibers required in various applications. These include machining, medical, lighting, sensing applications and beyond – anywhere in the world where fibers are an essential component. Our organization is streamlined to produce high quality preforms customized to your specific needs.","=HYPERLINK(""http://www.2b-special.de"")",2b-special GmbH  Sophienhoehe 1 B  Jena  Germany  07749
5447,3D AG,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102754"")",Your innovation and development partner in micro and nano technologies. We are your dedicated team equipped with the tools and services to transform your structure from lab scale to industrial replication for next-generation products.,"=HYPERLINK(""http://3dag.ch"")",3D AG  Laettichstrasse 4a  Baar  Switzerland  6340
2525,3L Systems,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101686"")","3L Systems is a South Korean manufacturer specializing in precision optics for defense and commercial sectors worldwide. Our team of manufacturing professionals has developed hundreds of customized solutions during our nearly 20 years of experience. We also excel in high-speed mass production, delivering exceptional quality, reduced lead times, and competitive pricing. Our comprehensive services include design, processing, coating, assembly, inspection, and stringent quality assessment.","=HYPERLINK(""http://www.3l-systems.com"")","3L Systems  13750 E Rice Pl Ste 103  Aurora, CO  United States  80015-1059"
1753,3photon,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101868"")","3photon stands in front of optical coatings and polishing facilities by design and commerce of laser & non-linear crystals and optical components. Experience combined with technology enables us to process various hardness and sensitivity crystals. Wide range of E-beam and IBS coatings up to 20 000 nm. UV-VIS-IR crystals, such as LBO, BBO, DKDP, PPKTP, BGGSe, AGSe, ZGP, Cr:ZnSe, Fe:ZnSe, Nd:YAG, Nd:YVO4, etc. Optical components such as broadband mirrors, dichroic separators, and beamsplitters.","=HYPERLINK(""http://www.3photon.com"")","3photon  Mokslininku St 6A , 3rd Flr  Vilnius  Lithuania  08412"
4947,"3SAE Technologies, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101909"")","3SAE Technologies specializes in developing, manufacturing, and distributing high-performance equipment for fusion splicing, glass processing, and fiber preparation. Our expertise includes high-power fiber optic lasers, fused fiber components, and specialty fiber splicing. Contact us to learn more about our solutions for your optical communications, R&D, or manufacturing applications. Visit us at booth 4947.","=HYPERLINK(""http://www.3sae.com"")","3SAE Technologies, Inc.  416 Mary Lindsay Polk Dr Ste 511  Franklin, TN  United States  37067-6212"
5002,3W Photonics,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102565"")","3W Photonics is based in California. We have accumulated nearly 20 years of experience in supplying solid-state laser crystals and optical components.We are a manufacturer of high quality Laser Crystals (Nd:YAG, Nd:YVO4 Nd:YLF,Nd,Ce:YAG and Cr4+:YAG) and Nonlinear Optical Materials(RTP, CLBO, LBO, BBO and KDP) ,Acoustic-Optic devices (Q-switches, Free-Space Modulators) and Laser optics(Mirrors,Lens) are also available.","=HYPERLINK(""http://www.3wphotonics.com"")","C  1444 11th St  Santa Monica, CA  United States  90401-2908"
1849,4D Technology Corp.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102238"")","4D Technology is a global leader in the design and manufacture of vibration-insensitive, portable and automated dynamic laser interferometers, optical profilers, and optical surface gauges. Our systems provide precise measurement of surface features, roughness, and defects - even in the most challenging environments. Serving: precision machined surfaces, optics, astronomy, aerospace & defense, space-based telescopes, optical communications, automotive, and in-line production measurements.","=HYPERLINK(""http://www.4dtechnology.com"")","4D Technology Corp.  3280 E Hemisphere Loop Ste 146  Tucson, AZ  United States  85706-5039"
5029,AA OPTO-ELECTRONIC,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=103471"")","AA OPTO-ELECTRONIC proposes one of the most complete range of standard Acousto-optic components and associated Radio frequency drivers. AO devices cover wavelengths from 180 nm to 11 µm. These products are available for rapid delivery in any quantity. The range of RF drivers cover from DC to 3 GHz and up to 500 W. These drivers are matched to AO devices. Modulators, Deflectors, Frequency shifters, Fiber pigtailed devices, Pulse pickers, AOTF... Power amplifiers, Frequency sources.","=HYPERLINK(""http://www.aaoptoelectronic.com"")",AA OPTO-ELECTRONIC  18 rue Nicolas Appert  Orsay  France  91400
1062,Abrisa Technologies,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101885"")","Abrisa Technologies, a US HEF Photonics company, supplies custom fabricated glass & precision coatings for: UV to IR, electro-optics, damage resistant wide-angle sensor/scanner windows, ITO EMI shields/heaters, display glass, autoclavable mirrors, filters for NVIS, machine vision, defense, security/surveillance & access to all HEF Photonics components, lithography & laser processing. Solutions for Imaging/Sensing, Semiconductor, Micro-Electronics, Defense/Avionics, Displays, Industry, Photonics","=HYPERLINK(""http://www.abrisatechnologies.com"")","Abrisa Technologies  200 S Hallock Dr  Santa Paula, CA  United States  93060-9646"
153,"ABTech, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102977"")",No Description Found,"=HYPERLINK(""http://abtechmfg.com"")","ABTech Inc  126 North Rte 12  Fitzwilliam, NH  United States  03447"
5329,"AC Photonics, Inc.","=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101624"")",No Description Found,"=HYPERLINK(""http://www.acphotonics.com"")","AC Photonics Inc  2701 Northwestern Pkwy  Santa Clara, CA  United States  95051-0947"
4830,Access Laser Co.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102243"")",No Description Found,"=HYPERLINK(""http://www.accesslaser.com"")","Access Laser Co  2211 W Casino Rd Unit A1  Everett, WA  United States  98204-1456"
227,AccuCoat Inc.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101470"")","AccuCoat Inc. specializes in optical thin-film coatings for plastic, metal and glass optical substrates, in addition to coating various IR materials including chalcogenides. Established in 1999, AccuCoat Inc. produces a wide range of coatings from UV to IR wavelengths, including anti-reflective, beamsplitter, hot and cold mirror, filter, and metallic coatings, plus custom options. Based in Rochester, NY, AccuCoat Inc. provides high-quality end products coupled with top-tier customer service.","=HYPERLINK(""http://www.accucoatinc.com"")","AccuCoat Inc.  111 Humboldt St Ste 8  Rochester, NY  United States  14609-7415"
1853,Accumold,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102223"")","Accumold® is a high-tech manufacturer of precision micro, small, and lead frame injection moulded plastic components. With 40 years of experience and over 7,000 projects completed, we have established ourselves as World Leaders in Micro-Mold® Manufacturing Solutions.","=HYPERLINK(""http://www.accu-mold.com"")","Accumold  1711 SE Oralabor Rd  Ankeny, IA  United States  50021-9412"
4639,Acktar USA,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102332"")","Acktar specializes in the development and production of high-performance black coatings designed for stray light suppression from EUV to FIR. Recognized globally as the gold standard in black coating technology, Acktar provides cutting-edge solutions that meet the demands of industries requiring precision, reliability, and durability under extreme conditions, including semiconductors, space, automotive, photonics, lasers and medical devices.","=HYPERLINK(""http://acktar.com"")","Acktar USA  696 San Ramon Valley Blvd # 334  Danville, CA  United States  94526-4022"
"511, 512",Acqiris SA,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101524"")","Acqiris is a leading global solution provider for high-speed signal acquisition and processing for worldwide Original Equipment Manufacturers (OEMs) and Research Laboratories. Since 25 years, we have developed innovative high-performance data acquisition solutions based on DAQ card (a.k.a digitizers, ADC) with real-time signal processing dedicated to medical/industrial imaging, SS-OCT, A-OCT, LiDAR, Fiber Optic Sensing systems. Visit us to learn more about our DAQ solutions for SS-OCT.","=HYPERLINK(""http://www.acqiris.com"")","Acqiris SA  Chemin des Aulx 12, Plan-les-Ouates  Geneva  Switzerland  1228"
5314,Admesy B.V.,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=102040"")","Admesy, founded in 2006 in The Netherlands, is a well-known brand for a wide range of user-friendly and robust light and color measurement devices, suited for analytical applications and display measurements. We provide customers with innovative solutions for production processes, test and measurement, automated inspection and analysis. Our colorimeters, spectrometers, light meters and 2D imaging devices are fast, accurate and reliable: measurement power stuffed in a solid black box.","=HYPERLINK(""http://www.admesy.com"")",Admesy B.V.  Sleestraat 3  Ittervoort  Netherlands  6014 CA
1464,ADOS-tech,"=HYPERLINK(""https://spie.org/ExhibitorDetail?ExpoID=5008&ExhibitorID=101854"")","Based in Lithuania, ADOS-TECH has over 12 years of experience in developing infrared optical devices, including thermal and night vision imagers. Under the IRVI brand, we design advanced IR viewers and cameras that offer practical, reliable alternatives to expensive semiconductor technologies like InGaSb/GaAs. Our focus is on delivering high-performance infrared solutions that meet the demands of scientific and industrial applications.","=HYPERLINK(""http://www.ir-viewers.com"")",ADOS-tech  Mokslininkų st. 6B  Vilnius  Lithuania  08412
